X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-9.200000000000017E-01	+8.319596481144760E-01	+3.782495422728942E-01	-5.533619010526057E-03	+3.727159232623681E-01	+3.727160779920690E-01	+1.547297008297477E-07
-9.100000000000001E-01	+8.344494166808138E-01	+3.808576533889378E-01	-5.533603257726056E-03	+3.753240501312118E-01	+3.753238974205163E-01	+1.527106954779534E-07
-8.999999999999986E-01	+8.369440525290468E-01	+3.834806736918744E-01	-5.533587677205647E-03	+3.779470860146688E-01	+3.779472407812241E-01	+1.547665553491839E-07
-8.900000000000006E-01	+8.394432244314903E-01	+3.861195541167708E-01	-5.533572268960943E-03	+3.805859818478098E-01	+3.805858291787257E-01	+1.526690841524569E-07
-8.799999999999990E-01	+8.419465881237832E-01	+3.887727667452378E-01	-5.533557032988099E-03	+3.832392097122497E-01	+3.832393645147406E-01	+1.548024908815115E-07
-8.700000000000010E-01	+8.444537860169218E-01	+3.914412234661838E-01	-5.533541969283321E-03	+3.859076814969005E-01	+3.859075288681864E-01	+1.526287141673244E-07
-8.599999999999994E-01	+8.469644469113009E-01	+3.941233561105806E-01	-5.533527077842846E-03	+3.885898290327378E-01	+3.885899838698198E-01	+1.548370820447786E-07
-8.500000000000014E-01	+8.494781857134197E-01	+3.968200350211895E-01	-5.533512358662960E-03	+3.912865226625266E-01	+3.912863700724997E-01	+1.525900268917191E-07
-8.399999999999999E-01	+8.519946031560089E-01	+3.995296492600901E-01	-5.533497811739995E-03	+3.939961514483501E-01	+3.939963063182190E-01	+1.548698688735861E-07
-8.299999999999983E-01	+8.545132855223264E-01	+4.022530250936811E-01	-5.533483437070318E-03	+3.967195416566108E-01	+3.967193891030900E-01	+1.525535207602680E-07
-8.200000000000003E-01	+8.570338043754634E-01	+4.049885062759400E-01	-5.533469234650348E-03	+3.994550370412896E-01	+3.994551919416242E-01	+1.549003346146272E-07
-8.100000000000023E-01	+8.595557162935193E-01	+4.077368724559094E-01	-5.533455204476541E-03	+4.022034172514328E-01	+4.022032647317191E-01	+1.525197137475232E-07
-8.000000000000007E-01	+8.620785626115588E-01	+4.104964195405133E-01	-5.533441346545399E-03	+4.049629781939679E-01	+4.049631331218815E-01	+1.549279136092707E-07
-7.899999999999991E-01	+8.646018691713190E-01	+4.132678780324131E-01	-5.533427660853462E-03	+4.077344503715596E-01	+4.077342978823389E-01	+1.524892206949957E-07
-7.800000000000011E-01	+8.671251460796850E-01	+4.160494934772099E-01	-5.533414147397321E-03	+4.105160793298125E-01	+4.105162342818034E-01	+1.549519909049835E-07
